"","treatment","dose_uM","timeID","mean_time","mean_count","sd_count","mean_count_norm","sd_count_norm","mean_PI","sd_PI","mean_AnV","sd_AnV"
"1","DEM",2,1,0.944117647058824,875.458366663966,216.799393479219,1,0,0.016415316295465,0.0164306769461045,0.0260226238365638,0.0463575810160329
"2","DEM",2,2,2.57647058823529,896.264733814408,217.712448128241,1.02522566548421,0.0271561904710273,0.012244000548068,0.0127855636845476,0.0285961790868289,0.0480316220911682
"3","DEM",2,3,4.20882352941176,916.687099983454,228.766658113624,1.04680565724521,0.0387723075444248,0.0067773144153472,0.00844724925075708,0.023119592041117,0.0343356665832278
"4","DEM",2,4,5.84117647058823,931.403547023673,233.725814718668,1.0636929046036,0.0522660536177726,0.00419189068433103,0.00719577897846591,0.0213258339709525,0.0334794968914717
"5","DEM",2,5,7.47352941176471,956.383305519858,237.943078827605,1.0931355122693,0.0596859542045276,0.00283400048617829,0.00615323390071715,0.0222913838639274,0.031141762510898
"6","DEM",2,6,9.10588235294118,978.749674481574,244.172653916848,1.11910734701328,0.0714250735339712,0.00225299804387793,0.00515156705235144,0.0221114867383078,0.0340689292846039
"7","DEM",2,7,10.7382352941176,1002.46100251297,247.67693662096,1.14760776916013,0.0890046728579187,0.00176627648926989,0.00414509427479061,0.0226969990082954,0.0318704280056697
"8","DEM",2,8,12.3705882352941,1032.33720889193,249.75172633106,1.18358017381505,0.095490891451973,0.0011785130153607,0.00301730022778543,0.0201630975661278,0.0236401025896449
"9","DEM",2,9,14.0029411764706,1051.57317784669,249.993349942444,1.20722310630864,0.0971693638627033,0.000847550776185578,0.00164870765389692,0.0196741835759138,0.0256590265346942
"10","DEM",2,10,15.7117647058824,1075.72762188215,245.402774789447,1.23741232517201,0.103783269972997,0.000857130174511582,0.00196277011504746,0.0206898204355686,0.0262713847095599
"11","DEM",2,11,17.3909090909091,1090.19115189113,248.789094781786,1.26171516377736,0.11427012417258,0.00105037156566693,0.00224672940174526,0.0229851621361374,0.0291161612987399
"12","DEM",2,12,19.0588235294118,1108.1138704092,248.102107747311,1.27705081956356,0.114129946440152,0.000965294224127631,0.00183829024507069,0.0250885098655695,0.0276008732562539
"13","DEM",2,13,20.6911764705882,1123.33963377793,250.02009846082,1.29531016880029,0.116094778834725,0.000990679649618595,0.00162570443088391,0.0266245971840033,0.0358124995302036
"14","DEM",2,14,22.3235294117647,1139.08252738165,249.815603907498,1.31527079465181,0.123794483117204,0.000947916620285102,0.00134203387923924,0.0294093699326976,0.0344505980337066
"15","DEM",2,15,23.9558823529412,1151.91164038415,256.518045929359,1.32981469900479,0.13304064694444,0.000678314638812988,0.00125569033726476,0.0310074064987711,0.0343162126809331
"16","DEM",2,16,25.5882352941176,1165.82523632029,250.129010415301,1.34827166417192,0.133945613703829,0.000861839937690262,0.00133726629131389,0.030352077699619,0.0332175048913361
"17","DEM",2,17,27.2205882352941,1169.36805912061,250.824013479502,1.3531854122462,0.140693781107035,0.000790244709226634,0.0011655546719704,0.032494557269524,0.0320796262930928
"18","DEM",2,18,28.8529411764706,1193.09329496464,244.85475691534,1.38414288250251,0.147404130646298,0.000947670852493303,0.00124358608427388,0.0316405319782618,0.0331918483475145
"19","DEM",2,19,30.4852941176471,1200.17824579114,248.783124921849,1.39178491723437,0.151975536693068,0.00106331958055877,0.00149844338757107,0.0351014640298785,0.0391986191186771
"20","DEM",2,20,32.1176470588235,1212.18013994176,252.493690022446,1.40506057626345,0.152776878694073,0.00106235271103086,0.00195346155010303,0.0349666477456936,0.0371839084647953
"21","DEM",2,21,33.8617647058824,1210.6262876627,247.839015305953,1.40594791172336,0.163177250871862,0.00103648696421701,0.00192118640084231,0.0356788480893067,0.0362026940755358
"22","DEM",2,22,35.4941176470588,1221.75996619407,242.217390972718,1.42093685553121,0.163886152735704,0.000883014932365592,0.00160643962757956,0.0374722377324362,0.0353700387189212
"23","DEM",2,23,37.1264705882353,1227.38976328387,244.257705133396,1.42918559261727,0.183988966935906,0.000883884550077729,0.00172206175358452,0.0416174776355023,0.0375583991818835
"24","DEM",2,24,38.7588235294118,1232.36069114644,245.778943356823,1.43355523344102,0.170126483472017,0.00104621309442235,0.00186922445726793,0.0420382645255772,0.0396584533472739
"25","DEM",2,25,40.3911764705882,1242.18076502346,242.71806182846,1.44795987726258,0.186624722653598,0.00120736816459482,0.00201663748182027,0.0437532170786914,0.039579767986002
"26","DEM",2,26,42.0235294117647,1255.98010755029,243.910227721801,1.46463374437651,0.196484600791613,0.00120476991411658,0.00207682002090081,0.0458566521879469,0.0475923479120541
"27","DEM",2,27,43.6558823529412,1259.35102152286,235.848792905295,1.47192525300957,0.203727959382867,0.00164998786833189,0.00331830409476213,0.0447713116399028,0.0477102859242665
"28","DEM",2,28,45.2882352941176,1265.981672038,230.891818611455,1.48093224294777,0.203406628451988,0.00151063907166804,0.00302186108555089,0.0454385558665833,0.0451056553921164
"29","DEM",2,29,46.9205882352941,1267.15571379047,233.916405642828,1.48091540540742,0.200762552235793,0.00128264200939819,0.00264249862301481,0.0474808722833833,0.0515489899455509
"30","DEM",2,30,48.069696969697,1279.1650361671,228.96485140665,1.4944760007942,0.207708358805397,0.00177287470146404,0.00383204136556421,0.0440141190015574,0.0435777804763717
"31","DEM",2,31,49.190625,1291.28490795496,208.26737485753,1.49059973682439,0.213442938824368,0.00191437365927282,0.00417835870432146,0.0441177092585125,0.0400005425514829
