"treatment"	"dose_uM"	"cell_line"	"plateID"	"replID"	"timeID"	"timeAfterExposure"	"cell_count"	"GFP_int"	"norm_count"	"dose_level"
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"1"	1	967.459865354738	0.274970493852084	0.308161265182607	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"2"	2.5	966.227343345417	0.302336472647419	0.306886475577867	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"3"	4	988.240365111562	0.294498010508581	0.329413276661445	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"4"	5.5	1001.25587206397	0.31119591845682	0.342497687075009	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"5"	7	993.207556675063	0.324976567353458	0.33442698599392	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"6"	8.5	1052.97338403042	0.295598282860093	0.392860559466721	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"7"	10	1074.45065176909	0.325574291310142	0.413052112312155	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"8"	11.5	1085.29861751152	0.322260421082067	0.423097775597025	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"9"	13	1104.23188405797	0.330497327174214	0.440392568665916	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"10"	14.5	1129.64570416298	0.321483432512694	0.463146650381281	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"11"	16	1147.65882352941	0.327982963236157	0.478966664638239	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"12"	17.5	1167.51049250535	0.319963332143813	0.496116300635874	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"13"	19	1189.21530698066	0.301620581526028	0.514536286679863	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"14"	20.5	1176.50021249469	0.336949807748117	0.503786712759956	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"15"	22	1210.21951219512	0.319966528792647	0.532044361150946	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"16"	23.5	1229.68429617575	0.323960448831322	0.548000069621914	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"17"	25	1289.6630476929	0.327148766007268	0.595623583873936	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"18"	26.5	1290.47731678945	0.324361715087759	0.59625476590945	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"19"	28	1295.82439212659	0.335530486610938	0.600389691805544	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"20"	29.5	1293.13070378964	0.341058257932698	0.598308783323804	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"21"	31	1291.50483933411	0.343603269960595	0.597050683570198	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"22"	32.5	1335.50467989517	0.3314819418692	0.630551860747471	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"23"	34	1318.68221463785	0.360553034003777	0.617875518657388	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"24"	35.5	1342.58212290503	0.328167799665932	0.635837320112555	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"25"	37	1332.3003003003	0.322471085147596	0.628149600342637	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"26"	38.5	1363.45854732208	0.322361621751823	0.65126712412945	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"27"	40	1361.52221814176	0.313399929877531	0.649845954827433	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"28"	41.5	1387.08723864456	0.302797540506377	0.668448639677958	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"29"	43	1391.01150251618	0.295725861892859	0.671273785108237	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"30"	44.5	1423.74042852125	0.288302499312753	0.694530115991061	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"31"	46	1409	0.283195269310071	0.684122835875266	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"32"	47.5	1401.0028551035	0.286135761556944	0.678430908215512	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"33"	49	1420	0.305248032904468	0.691899474571893	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"34"	50.5	1418.01128349788	0.298028317758712	0.690497988369781	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"35"	52	1463.04374572796	0.299263331856175	0.721761625935836	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"36"	53.5	1450.73595311961	0.29778938132043	0.713313584504901	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"37"	55	1429.00629811057	0.306572158238974	0.698221909251931	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"38"	56.5	1447.000691085	0.303370224025763	0.710735528206438	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"39"	58	1466.62427548585	0.310789886138803	0.724205951719298	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"40"	59.5	1496.50150350819	0.290495716676127	0.744372655951886	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"41"	61	1486.70602085436	0.286485723906228	0.737805551398921	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"42"	62.5	1503.02395209581	0.281722107140889	0.74872164979407	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"43"	64	1508.09549071618	0.290845060154546	0.752090193295774	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"44"	65.5	1477.56108291032	0.289083241150483	0.731635414473563	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"45"	67	1498.1308411215	0.27473280318582	0.745460828112324	1
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"1"	1	903.674496644295	0.314562095593896	0.239956549444221	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"2"	2.5	926.628664495114	0.319041456804224	0.265040231614598	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"3"	4	956.975763962065	0.309424912975507	0.297265390095341	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"4"	5.5	961.221174004193	0.322524898871842	0.301691856314741	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"5"	7	997.748733535968	0.325957000277292	0.338988798584621	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"6"	8.5	1025.24913835549	0.312442094378394	0.366178247824593	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"7"	10	1051.75215311005	0.324516061163877	0.391700093614171	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"8"	11.5	1087.49053117783	0.31105697276804	0.425115379938604	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"9"	13	1106.56818181818	0.326918300252927	0.44250610092599	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"10"	14.5	1104.6787989081	0.332351369281206	0.440797215951722	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"11"	16	1160.83196188826	0.330150659388028	0.490379559530236	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"12"	17.5	1168.52941176471	0.325935550248005	0.496988648169069	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"13"	19	1202.64705882353	0.315241102348564	0.525767612719113	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"14"	20.5	1200.77267028834	0.340943606254288	0.524207844450177	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"15"	22	1226.36531365314	0.333019721696625	0.545297368072522	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"16"	23.5	1209.422406639	0.350623746578677	0.531385498714526	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"17"	25	1229.23735725938	0.354215857984921	0.54763654529354	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"18"	26.5	1267.28152260111	0.346761764595637	0.578116675828202	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"19"	28	1280.23577873676	0.352074007933221	0.588286866065212	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"20"	29.5	1310.15249042146	0.352145898255376	0.611386138299133	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"21"	31	1321.40591805766	0.353936987318382	0.619938862189301	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"22"	32.5	1302.95389934691	0.369220793059461	0.605876520081753	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"23"	34	1319.28028864413	0.372135478471805	0.618328954986214	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"24"	35.5	1329.59169811321	0.351349991226598	0.626114504160268	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"25"	37	1317.19504761905	0.332851398052417	0.616747114692687	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"26"	38.5	1304.2475019216	0.348510418336731	0.606868850540163	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"27"	40	1352.83982202447	0.324313889341824	0.643448557869626	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"28"	41.5	1361.60824742268	0.321166979502962	0.649909138932669	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"29"	43	1386.6453593355	0.305741525794452	0.668130022581907	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"30"	44.5	1392.58327325162	0.304568071799545	0.672403095247899	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"31"	46	1406.53791384834	0.287309612989011	0.682373907709802	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"32"	47.5	1388.80238009376	0.300030659027555	0.669684381658393	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"33"	49	1411.55500354862	0.313524593959183	0.685934539064357	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"34"	50.5	1415.56221198157	0.298476452182064	0.688769378097231	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"35"	52	1410.34258271078	0.32103685004002	0.685075244298775	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"36"	53.5	1423.45070422535	0.304456875255559	0.694326600116369	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"37"	55	1415.57011331445	0.322131854383989	0.688774959844725	2
