"treatment"	"dose_uM"	"cell_line"	"plateID"	"replID"	"timeID"	"timeAfterExposure"	"cell_count"	"GFP_int"	"norm_count"	"dose_level"
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"32"	47.5	1232.35795454545	0.374316963567272	0.363551160822411	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"33"	49	1240.02785627776	0.3741176714765	0.369755634495921	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"34"	50.5	1270.70866141732	0.360710395505381	0.394196536352948	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"35"	52	1247.58837675351	0.36399932141251	0.375834179614446	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"36"	53.5	1248.28926282051	0.36992381907193	0.376395814587504	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"37"	55	1248.50500600721	0.380274517689898	0.376568630738139	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"38"	56.5	1248.62515018022	0.362337494892305	0.376664856537826	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"39"	58	1262.01980982567	0.365755706030727	0.38733525155473	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"40"	59.5	1257.51610337972	0.371020863704253	0.383760219169508	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"41"	61	1260.07936507937	0.371186553052424	0.385796497529121	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"42"	62.5	1277.37901331245	0.347622161839898	0.399432123180066	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"43"	64	1263.71547289276	0.364554673316747	0.388677960217384	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"44"	65.5	1307.5690248566	0.339800876827756	0.422791497432019	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"45"	67	1309.06187929717	0.357212658139741	0.423932548392001	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"46"	68.5	1292.56982591876	0.353551875812267	0.411254140254059	1
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"1"	1	628.014876033058	0.326499553947455	-0.310569634452586	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"2"	2.5	653.006289308176	0.319920409010258	-0.27154672795482	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"3"	4	672.752688172043	0.342565516244085	-0.241755703195504	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"4"	5.5	678.75854214123	0.339607028062577	-0.23286803231522	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"5"	7	711.347058823529	0.355358721233112	-0.185973050142761	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"6"	8.5	730.854597291518	0.351270840340174	-0.158918957940189	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"7"	10	747.538408304498	0.335395807814831	-0.136347802298989	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"8"	11.5	767.470746469401	0.329266931676297	-0.110033125205328	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"9"	13	776.508	0.333207256613993	-0.0983265434152366	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"10"	14.5	798.091843288375	0.338975993183541	-0.070909805923638	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"11"	16	832.484586929716	0.352354087051609	-0.028718781106288	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"12"	17.5	838.219814241486	0.368860036210223	-0.021853114341582	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"13"	19	867.680215182307	0.354627727742091	0.0126897424990731	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"14"	20.5	892.370306181398	0.357562665036457	0.0407476993006437	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"15"	22	897.939481268011	0.346830952587688	0.0469691846429302	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"16"	23.5	894.477611940299	0.327231684629524	0.0431063854703068	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"17"	25	909.239229024943	0.357456770614178	0.0594747492064633	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"18"	26.5	942.713347921225	0.3356222762018	0.0956287689569278	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"19"	28	940.690032858708	0.359809029487733	0.0934801948792448	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"20"	29.5	968.506951871658	0.351525764813384	0.122622172208295	2
