"treatment"	"dose_uM"	"cell_line"	"plateID"	"replID"	"timeID"	"timeAfterExposure"	"cell_count"	"GFP_int"	"norm_count"	"dose_level"
"AMI "	0.81	"HepG2 p21-GFP"	"20180126_SBP-TQ_p21_rep1"	"1"	"1"	1	1031.30073710074	0.0504513713023625	0.493196759120112	1
"AMI "	0.81	"HepG2 p21-GFP"	"20180126_SBP-TQ_p21_rep1"	"1"	"2"	2.5	1079.06191369606	0.0476491137953075	0.538467967307138	1
"AMI "	0.81	"HepG2 p21-GFP"	"20180126_SBP-TQ_p21_rep1"	"1"	"3"	4	1104.11080586081	0.0473504518286945	0.561416212496736	1
"AMI "	0.81	"HepG2 p21-GFP"	"20180126_SBP-TQ_p21_rep1"	"1"	"4"	5.5	1136.81818181818	0.043911820015937	0.590609193581996	1
"AMI "	0.81	"HepG2 p21-GFP"	"20180126_SBP-TQ_p21_rep1"	"1"	"5"	7	1184.96852403233	0.0380694830120527	0.632092114287066	1
"AMI "	0.81	"HepG2 p21-GFP"	"20180126_SBP-TQ_p21_rep1"	"1"	"6"	8.5	1198.48509029819	0.0340354625466732	0.643434236563822	1
"AMI "	0.81	"HepG2 p21-GFP"	"20180126_SBP-TQ_p21_rep1"	"1"	"7"	10	1202.88525963149	0.0345171356107372	0.647098955967066	1
"AMI "	0.81	"HepG2 p21-GFP"	"20180126_SBP-TQ_p21_rep1"	"1"	"8"	11.5	1215.97107438017	0.0333405040175721	0.65791889779552	1
"AMI "	0.81	"HepG2 p21-GFP"	"20180126_SBP-TQ_p21_rep1"	"1"	"9"	13	1225.2091878589	0.0289094453119607	0.665487497067792	1
"AMI "	0.81	"HepG2 p21-GFP"	"20180126_SBP-TQ_p21_rep1"	"1"	"10"	14.5	1241.19148073022	0.0264136328656241	0.67844769188279	1
"AMI "	0.81	"HepG2 p21-GFP"	"20180126_SBP-TQ_p21_rep1"	"1"	"11"	16	1254.65851703407	0.0278699442322996	0.689239339628337	1
"AMI "	0.81	"HepG2 p21-GFP"	"20180126_SBP-TQ_p21_rep1"	"1"	"12"	17.5	1290.06510721248	0.021326300818575	0.717068589858107	1
"AMI "	0.81	"HepG2 p21-GFP"	"20180126_SBP-TQ_p21_rep1"	"1"	"13"	19	1278.62666666667	0.0199911643678116	0.708162487328529	1
"AMI "	0.81	"HepG2 p21-GFP"	"20180126_SBP-TQ_p21_rep1"	"1"	"14"	20.5	1301.69370413287	0.022203665740283	0.726042167879499	1
"AMI "	0.81	"HepG2 p21-GFP"	"20180126_SBP-TQ_p21_rep1"	"1"	"15"	22	1304.80076923077	0.0180450297005671	0.728426263914493	1
"AMI "	0.81	"HepG2 p21-GFP"	"20180126_SBP-TQ_p21_rep1"	"1"	"16"	23.5	1327.80695126558	0.0191552516982186	0.745904574515167	1
"AMI "	0.81	"HepG2 p21-GFP"	"20180126_SBP-TQ_p21_rep1"	"1"	"17"	25	1359.98227474151	0.0168981077545386	0.769847568435507	1
"AMI "	0.81	"HepG2 p21-GFP"	"20180126_SBP-TQ_p21_rep1"	"1"	"18"	26.5	1397.12477590534	0.0149793560469692	0.79679229537741	1
"AMI "	0.81	"HepG2 p21-GFP"	"20180126_SBP-TQ_p21_rep1"	"1"	"19"	28	1401.5451947124	0.0117518632278014	0.799951240540209	1
"AMI "	0.81	"HepG2 p21-GFP"	"20180126_SBP-TQ_p21_rep1"	"1"	"20"	29.5	1451.41923209962	0.0139283276079853	0.834917760548071	1
"AMI "	0.81	"HepG2 p21-GFP"	"20180126_SBP-TQ_p21_rep1"	"1"	"21"	31	1447.10872576177	0.015324727792972	0.831943485620807	1
"AMI "	0.81	"HepG2 p21-GFP"	"20180126_SBP-TQ_p21_rep1"	"1"	"22"	32.5	1463.17653096134	0.0153396467205544	0.842985680487787	1
"AMI "	0.81	"HepG2 p21-GFP"	"20180126_SBP-TQ_p21_rep1"	"1"	"23"	34	1474.78260869565	0.0169921162532122	0.850886497045337	1
"AMI "	0.81	"HepG2 p21-GFP"	"20180126_SBP-TQ_p21_rep1"	"1"	"24"	35.5	1472.88227288193	0.0154602772139543	0.849597112971269	1
"AMI "	0.81	"HepG2 p21-GFP"	"20180126_SBP-TQ_p21_rep1"	"1"	"25"	37	1481.08989523488	0.0174834291398156	0.855154134505056	1
"AMI "	0.81	"HepG2 p21-GFP"	"20180126_SBP-TQ_p21_rep1"	"1"	"26"	38.5	1496.07023411371	0.0161188906468092	0.865217728438023	1
"AMI "	0.81	"HepG2 p21-GFP"	"20180126_SBP-TQ_p21_rep1"	"1"	"27"	40	1491.38631790744	0.0186638460399651	0.862082004143666	1
"AMI "	0.81	"HepG2 p21-GFP"	"20180126_SBP-TQ_p21_rep1"	"1"	"28"	41.5	1497.76445038423	0.017679980961103	0.866349532047718	1
"AMI "	0.81	"HepG2 p21-GFP"	"20180126_SBP-TQ_p21_rep1"	"1"	"29"	43	1473.5652173913	0.0133306325199148	0.850060684457852	1
"AMI "	0.81	"HepG2 p21-GFP"	"20180126_SBP-TQ_p21_rep1"	"1"	"30"	44.5	1488.96099529254	0.0132681191114012	0.860454460172842	1
"AMI "	0.81	"HepG2 p21-GFP"	"20180126_SBP-TQ_p21_rep1"	"1"	"31"	46	1502.40972684877	0.0140839258496264	0.869446205708801	1
"AMI "	0.81	"HepG2 p21-GFP"	"20180126_SBP-TQ_p21_rep1"	"1"	"32"	47.5	1502.96138482024	0.0149277656757631	0.869813320422539	1
"AMI "	0.81	"HepG2 p21-GFP"	"20180126_SBP-TQ_p21_rep1"	"1"	"33"	49	1526.51376146789	0.0136520844521418	0.885362450249056	1
"AMI "	0.81	"HepG2 p21-GFP"	"20180126_SBP-TQ_p21_rep1"	"1"	"34"	50.5	1521.59005597629	0.0150574039156137	0.882131779596759	1
"AMI "	0.81	"HepG2 p21-GFP"	"20180126_SBP-TQ_p21_rep1"	"1"	"35"	52	1544.95467788928	0.0153182584967499	0.89737047727073	1
"AMI "	0.81	"HepG2 p21-GFP"	"20180126_SBP-TQ_p21_rep1"	"1"	"36"	53.5	1524.31758530184	0.0168616507576989	0.883922726910871	1
"AMI "	0.81	"HepG2 p21-GFP"	"20180126_SBP-TQ_p21_rep1"	"1"	"37"	55	1534.29261920314	0.0162475887513346	0.890445342477789	1
"AMI "	0.81	"HepG2 p21-GFP"	"20180126_SBP-TQ_p21_rep1"	"1"	"38"	56.5	1535.16302575807	0.0190708302390888	0.891012483156101	1
"AMI "	0.81	"HepG2 p21-GFP"	"20180126_SBP-TQ_p21_rep1"	"1"	"39"	58	1526.99672346003	0.0194784251683636	0.885678782548256	1
"AMI "	0.81	"HepG2 p21-GFP"	"20180126_SBP-TQ_p21_rep1"	"1"	"40"	59.5	1523.67235718976	0.0206022030572449	0.883499347481219	1
"AMI "	0.81	"HepG2 p21-GFP"	"20180126_SBP-TQ_p21_rep1"	"1"	"41"	61	1525.28074778616	0.0230643038885113	0.884554392075359	1
"AMI "	0.81	"HepG2 p21-GFP"	"20180126_SBP-TQ_p21_rep1"	"1"	"42"	62.5	1483.01011804384	0.0261095915497067	0.856449787869646	1
