"","treatment","dose_uM","timeID","mean_time","mean_count","sd_count","mean_count_norm","sd_count_norm","mean_PI","sd_PI","mean_AnV","sd_AnV"
"1","ETO",0.5,1,0.944117647058824,748.908355897884,238.843123022114,1,0,0.0310258985758306,0.0294286852925966,0.0264452367699109,0.0453717148794294
"2","ETO",0.5,2,2.57647058823529,763.609205421038,245.511711818313,1.01749252807848,0.032476124052507,0.023284973278017,0.0274695263957732,0.0279438276560542,0.0413542216649544
"3","ETO",0.5,3,4.20882352941176,769.104483648505,251.976001495158,1.02230126184946,0.0356033672133436,0.0157769296296424,0.0197347056718939,0.0254821255604303,0.0308931496724789
"4","ETO",0.5,4,5.84117647058823,788.57680037195,258.924774016162,1.04791843145358,0.0513234399627719,0.0106839288973193,0.0145448433710039,0.0304675571427479,0.033005299960709
"5","ETO",0.5,5,7.47352941176471,804.959482223128,261.039919784307,1.0707280903628,0.0607915455064207,0.0073536419189486,0.0126971014322448,0.02761901053404,0.0340406746762942
"6","ETO",0.5,6,9.10588235294118,819.771396046453,273.514752488485,1.08519861650061,0.0751851302980152,0.00510873350612994,0.0093162842682553,0.0288511190281708,0.0334296764669497
"7","ETO",0.5,7,10.7382352941176,839.265331545003,272.388526612037,1.11586947923208,0.0749825407474238,0.00382785394733911,0.00721886819872102,0.0304842791996923,0.0378820724170131
"8","ETO",0.5,8,12.3705882352941,852.907492527532,274.346222988756,1.13499765447224,0.0733038111711043,0.00289162588008156,0.00562211107782916,0.0312097514329572,0.0378218332959835
"9","ETO",0.5,9,14.0029411764706,867.870965346899,273.408056859958,1.15785863231664,0.0840613752106658,0.00223041310688093,0.00378182741147466,0.0320235268894369,0.0387634462609407
"10","ETO",0.5,10,15.7117647058824,880.941728520639,271.553666704607,1.17924836794988,0.0809321499744229,0.00217725030067879,0.00353801901169271,0.0334605141917103,0.0438308884508311
"11","ETO",0.5,11,17.3909090909091,890.635517419083,277.414841983162,1.19968753701533,0.100101934676177,0.00191300039100861,0.00345722749354053,0.0370225412098413,0.0414884545760687
"12","ETO",0.5,12,19.0588235294118,910.37967772079,278.852237883162,1.22010681365535,0.095201898110697,0.00150112971541241,0.00245481459178877,0.0367371138040441,0.0343450821867122
"13","ETO",0.5,13,20.6911764705882,923.99865556645,282.351679802219,1.23679783257688,0.0998378123595052,0.00180162364134004,0.00273138484856764,0.0397724100036447,0.0396250266149407
"14","ETO",0.5,14,22.3235294117647,928.342580944926,284.821980614409,1.24241040522725,0.102643379198797,0.00185874885483017,0.00343568498541326,0.0408810661153696,0.0340385000216812
"15","ETO",0.5,15,23.9558823529412,945.313259775544,292.908660641047,1.26370749672613,0.101501665333377,0.00158005030743199,0.00257418894082323,0.0423982631992297,0.0344072774174775
"16","ETO",0.5,16,25.5882352941176,958.595998081935,289.918874697469,1.28463378919849,0.103132589521717,0.00154604576152928,0.00270529807505306,0.0447070049882316,0.0311111904672004
"17","ETO",0.5,17,27.2205882352941,963.815515689278,285.350174398044,1.29611406399218,0.107605530494588,0.00150382584003644,0.00274268856557003,0.0450260585864136,0.0328705776081544
"18","ETO",0.5,18,28.8529411764706,964.582011386667,289.347157371138,1.2932971901657,0.106331991567197,0.0018268092012827,0.00348449370847828,0.045437396716144,0.0319354272692844
"19","ETO",0.5,19,30.4852941176471,982.770803808565,291.578117535141,1.32042776842844,0.107606552074838,0.00190732610849737,0.00365907085550295,0.048056848867808,0.035074865549089
"20","ETO",0.5,20,32.1176470588235,990.608060812351,295.589071729621,1.33052236355807,0.124925860227655,0.00189670722179692,0.00451203906679076,0.0475888098191016,0.0307181987343259
"21","ETO",0.5,21,33.8617647058824,999.965138932295,295.535231485349,1.34368890842093,0.12438403491702,0.00198905138826339,0.0043169062232692,0.0463128992494109,0.0310580992920395
"22","ETO",0.5,22,35.4941176470588,1013.50530061403,291.485632005969,1.36707120674285,0.133734049656597,0.00188860371454344,0.00439035387880153,0.0469575408887383,0.0306977837264479
"23","ETO",0.5,23,37.1264705882353,1021.8246324398,289.337993441452,1.38231338988885,0.138870142846725,0.00190619758100358,0.00379170439029807,0.0508729892483525,0.0322039861960364
"24","ETO",0.5,24,38.7588235294118,1028.3804504472,294.540927080676,1.38892399872525,0.134499581433225,0.00184575078602297,0.00376788825448682,0.0506423002103207,0.0346524971094893
"25","ETO",0.5,25,40.3911764705882,1036.24783280541,292.20287565162,1.40205697271356,0.139641307383307,0.00203701682206975,0.0043068140926571,0.0501075176040696,0.0325692692290691
"26","ETO",0.5,26,42.0235294117647,1042.04607014095,286.428579668713,1.41493557713417,0.152829946300683,0.00173802871473451,0.003890895414517,0.0494265561485881,0.0314948715510598
