,init_value,est_value
KiP5_sc,0.6818976678721796,0.05916062750927541
VmaxM2_byN2,0.6706390080713317,1.0306854290464185e-27
hillM2_byN2,2.0,9.997951893627992
KmM2_byN2,0.5639354387989465,992.1946845241597
degradD_byP5,0.009909527110307837,0.009909527110307837
degradP5,7160807.187179274,5669062.000692755
degradP5p,0.16138762883700505,0.16138762883700505
degradM2,0.5746099631845983,0.11340918485415723
degradP2,0.10318502178820262,0.10318502178820262
degradB2,0.08548786408821893,0.08548786408821893
degradK1,0.02455192828244995,0.02455192828244995
degradN2,0.18675545260171636,0.18675545260171636
degradS1,0.04699074966476474,0.04699074966476474
