,init_value,est_value
KiP5_sc,0.0023805444588902614,6.307720603462323e-06
VmaxM2_byN2,0.6649044163423535,0.0853644401638678
hillM2_byN2,2.0,9.999999998026558
KmM2_byN2,0.6281725982944447,0.8614935234679792
degradP5_byM2,0.9820073212893161,243.6909723740772
degradP5p_byM2,0.6240016058125609,177.32079484231258
sc_S,0.19963121328363365,2.099063553367051
Km_S,0.30208426448171877,0.1266574343655963
hillP5_byM2,2.0,9.999964496907282
KmP5_byM2,0.18968981963058926,1.1008716935990177
hillP5p_byM2,2.0,9.999973845800874
KmP5p_byM2,0.9701230031062198,1.045312926093319
degradD_byP5,0.009909527110307837,0.009909527110307837
degradP5,2844307.032381373,119413.55562019678
degradP5p,0.6685877587457161,0.01741418360377022
degradM2,0.5354157774720253,0.1363020681885951
degradP2,0.10318502178820262,0.10318502178820262
degradB2,0.08548786408821893,0.08548786408821893
degradK1,0.02455192828244995,0.02455192828244995
degradN2,0.18675545260171636,0.18675545260171636
degradS1,0.04699074966476474,0.04699074966476474
